grad_norm,loss,loss_cal,loss_cal_q0,loss_cal_q1,loss_cal_q2,loss_cal_q3,loss_diff,loss_diff_q0,loss_diff_q1,loss_diff_q2,loss_diff_q3,loss_q0,loss_q1,loss_q2,loss_q3,param_norm,samples,step
13.251765803877086,1.099381685256958,0.32804253697395325,0.3230155110359192,0.3178463459014893,0.2866506973902384,0.3768587112426758,1.099381685256958,1.0796719789505005,1.094477367401123,1.0958604017893472,1.1278634369373322,1.0796719789505005,1.094477367401123,1.0958604017893472,1.1278634369373322,244.64005906996812,16,0
4.324733545130128,0.12710498508065937,0.1378104115277528,0.1361469125613955,0.13892649216356226,0.14059266032108803,0.13606987860194353,0.12710498508065937,0.30898691520859,0.07579062255910321,0.06644872226103966,0.0645895189921951,0.30898691520859,0.07579062255910321,0.06644872226103966,0.0645895189921951,247.04318981844992,1616,100
3.2153264251184472,0.03949214912019669,0.07859081350266933,0.07847117902357359,0.08028126919891723,0.07712657486473147,0.07843908212145294,0.03949214912019669,0.11921732165862477,0.018491606624105716,0.010851505188160195,0.010251527880806749,0.11921732165862477,0.018491606624105716,0.010851505188160195,0.010251527880806749,250.408426902054,3216,200
2.922549149884968,0.02530839192681013,0.06624796029180288,0.06686318668623253,0.06562911276420921,0.06546191639347891,0.06692494388551877,0.02530839192681013,0.07858118918705162,0.012969559306178635,0.006167347796018351,0.005275844391820597,0.07858118918705162,0.012969559306178635,0.006167347796018351,0.005275844391820597,251.78267953103594,4816,300
2.7958115531472125,0.021776769063435477,0.05810627203434704,0.05700403479232382,0.06049656987609992,0.055562068752801834,0.05883711948509519,0.021776769063435477,0.06411496608052407,0.011861322246964132,0.004996963099322526,0.004328424152521084,0.06411496608052407,0.011861322246964132,0.004996963099322526,0.004328424152521084,253.0568631269925,6416,400
2.725461184145913,0.01831914426758885,0.051233570612967023,0.05222306449683801,0.04819491963383477,0.05282254876496575,0.051461928213636106,0.01831914426758885,0.05937104835359275,0.009652222564759982,0.003979545903224863,0.003211191849379034,0.05937104835359275,0.009652222564759982,0.003979545903224863,0.003211191849379034,253.59080515215058,8016,500
2.2721154462276365,0.01765492501668633,0.04563613381236793,0.045594338869759395,0.045470223570928815,0.045332872205577135,0.045092738731282556,0.01765492501668633,0.05488033935575934,0.009216647741605381,0.0034676831021794524,0.0028504563964045415,0.05488033935575934,0.009216647741605381,0.0034676831021794524,0.0028504563964045415,254.2173913553709,9616,600
2.0435178817584156,0.01400545241776854,0.04003956064581871,0.040153693159745506,0.03918455697721536,0.041144534742249696,0.039033710049131,0.01400545241776854,0.04402784937044343,0.008100412661750142,0.0031577301693508503,0.0024728047467457758,0.04402784937044343,0.008100412661750142,0.0031577301693508503,0.0024728047467457758,254.18924892651927,11216,700
1.962218489516691,0.015081007080152628,0.035040664840489656,0.03597176462163526,0.03520835873342881,0.03450441659204189,0.034395096048587606,0.015081007080152628,0.04974965062364929,0.007710923212113548,0.002951865172886018,0.0023652331183867735,0.04974965062364929,0.007710923212113548,0.002951865172886018,0.0023652331183867735,253.78206693713776,12816,800
1.84418467373667,0.013356617994140833,0.03146169772371647,0.03114788013223847,0.032636262241225546,0.031383568356167284,0.030468950233000537,0.013356617994140833,0.04228305442330353,0.007237984433782116,0.0027819371726245977,0.0022401329880855424,0.04228305442330353,0.007237984433782116,0.0027819371726245977,0.0022401329880855424,253.66984745849726,14416,900
